id   ,        Country         ,       Port Name        ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,         Area Local         ,         Area Global          ,                         Also known as                       
 2   ,         China          ,          CJK           ,   CNCJK   ,       1529        ,             343             ,            370            ,         310         ,  Anchorage  ,       East China Sea       ,        Central China         ,          "[CHANGJIANGKOU,  CHANGJIANG KOU,  CJK CN]"        
10   ,         China          ,      JINZHOU ANCH      ,   null    ,        863        ,             192             ,            292            ,          5          ,  Anchorage  ,         Bohai Sea          ,         North China          ,                             null                            
18   ,         China          ,     HUANGHUA ANCH      ,   null    ,        602        ,             344             ,            399            ,          1          ,  Anchorage  ,         Bohai Sea          ,         North China          ,                             null                            
22   ,       Singapore        ,     SINGAPORE ANCH     ,   null    ,        516        ,            1271             ,           1224            ,         71          ,  Anchorage  ,       Singapore Area       ,          Indonesia           ,          "[ASPLU,  SELAT PAUH ANCH,  AEPB,  PEBGC]"         
46   ,         China          ,      LAIZHOU BAY       ,   null    ,        300        ,             75              ,            103            ,          4          ,  Anchorage  ,         Bohai Sea          ,         North China          ,                             null                            
48   ,         China          ,      TIANJIN ANCH      ,   null    ,        283        ,             326             ,            408            ,          3          ,  Anchorage  ,         Bohai Sea          ,         North China          ,                             null                            
60   ,         China          ,      NINGBO ANCH       ,   null    ,        243        ,             160             ,            208            ,          0          ,  Anchorage  ,       East China Sea       ,        Central China         ,                             null                            
63   ,         China          ,      NANTONG ANCH      ,   null    ,        229        ,             214             ,            206            ,          2          ,  Anchorage  ,       East China Sea       ,        Central China         ,                             null                            
64   ,         China          ,      WENZHOU ANCH      ,   null    ,        228        ,             98              ,            105            ,          1          ,  Anchorage  ,       East China Sea       ,        Central China         ,                             null                            
90   ,         China          ,      NINGDE ANCH       ,   null    ,        170        ,             110             ,            120            ,          4          ,  Anchorage  ,       East China Sea       ,         South China          ,                             null                            
94   ,         China          ,     JINGTANG ANCH      ,   null    ,        167        ,             96              ,            103            ,          3          ,  Anchorage  ,         Bohai Sea          ,         North China          ,                             null                            
98   ,       Indonesia        ,    MUARA BERAU ANCH    ,   IDMUB   ,        162        ,             59              ,            61             ,          6          ,  Anchorage  ,      Makassar Strait       ,          Indonesia           ,                             null                            
104  ,         Turkey         ,     ISTANBUL ANCH      ,   null    ,        154        ,             169             ,            164            ,          1          ,  Anchorage  ,        Marmara Sea         ,          Black Sea           ,                             null                            
105  ,         China          ,      NANSHA ANCH       ,   null    ,        151        ,             234             ,            223            ,         16          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
108  ,         China          ,      LANSHAN ANCH      ,   null    ,        150        ,             300             ,            309            ,          1          ,  Anchorage  ,         Yellow Sea         ,         North China          ,                             null                            
110  ,         China          ,    LIANYUNGANG ANCH    ,   null    ,        149        ,             116             ,            102            ,          4          ,  Anchorage  ,         Yellow Sea         ,         North China          ,                             null                            
114  ,         India          ,      MUMBAI ANCH       ,   null    ,        148        ,             88              ,            82             ,          3          ,  Anchorage  ,      West Coast India      ,       West Coast India       ,                             null                            
124  ,         China          ,     JIANGYIN ANCH      ,   null    ,        141        ,             122             ,            108            ,          0          ,  Anchorage  ,       East China Sea       ,        Central China         ,                             null                            
125  ,  United Arab Emirates  ,     FUJAIRAH ANCH      ,   null    ,        140        ,             166             ,            157            ,          4          ,  Anchorage  ,         Oman Gulf          ,         Arabian Gulf         ,                             null                            
126  ,         China          ,      TAICANG ANCH      ,   null    ,        140        ,             135             ,            136            ,          1          ,  Anchorage  ,       East China Sea       ,        Central China         ,                             null                            
127  ,         China          ,    QINHUANGDAO ANCH    ,   null    ,        140        ,             108             ,            121            ,          0          ,  Anchorage  ,         Bohai Sea          ,         North China          ,                             null                            
133  ,       Indonesia        ,      TABONEO ANCH      ,   IDTAB   ,        133        ,             72              ,            69             ,         33          ,  Anchorage  ,          Java Sea          ,          Indonesia           ,                          "[TABONEO]"                        
136  ,         China          ,      RIZHAO ANCH       ,   null    ,        130        ,             332             ,            326            ,          1          ,  Anchorage  ,         Yellow Sea         ,         North China          ,                             null                            
142  ,         China          ,     QUANZHOU ANCH      ,   null    ,        128        ,             108             ,            105            ,          2          ,  Anchorage  ,       East China Sea       ,         South China          ,                             null                            
148  ,         China          ,      HUANGPU ANCH      ,   null    ,        121        ,             95              ,            92             ,          3          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
149  ,         China          ,    ZHUJIAN KOU ANCH    ,   null    ,        120        ,             193             ,            194            ,         13          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
157  ,         China          ,     ZHOUSHAN ANCH      ,   null    ,        118        ,             150             ,            147            ,          5          ,  Anchorage  ,       East China Sea       ,        Central China         ,  "[BEILUN ANCH,  ZHENHAI ANCH,  NINGBO ANCH,  JINTANG ANCH]"
159  ,      Philippines       ,      MANILA ANCH       ,   null    ,        117        ,             41              ,            70             ,         11          ,  Anchorage  ,        Philippines         ,         Philippines          ,                             null                            
178  ,         China          ,    CAOFEIDIAN ANCH     ,   null    ,        108        ,             126             ,            127            ,          2          ,  Anchorage  ,         Bohai Sea          ,         North China          ,                             null                            
184  ,       Indonesia        ,      JAKARTA ANCH      ,   null    ,        105        ,             52              ,            71             ,          0          ,  Anchorage  ,          Java Sea          ,          Indonesia           ,                             null                            
191  ,         China          ,      YANTAI ANCH       ,   null    ,        102        ,             264             ,            266            ,          3          ,  Anchorage  ,         Bohai Sea          ,         North China          ,                             null                            
192  ,         Russia         ,   KAVKAZ SOUTH ANCH    ,   null    ,        101        ,             48              ,            56             ,          6          ,  Anchorage  ,          Azov Sea          ,          Black Sea           ,                             null                            
210  ,         China          ,      DALIAN ANCH       ,   null    ,        93         ,             123             ,            123            ,          4          ,  Anchorage  ,         Yellow Sea         ,         North China          ,                             null                            
211  ,         China          ,     BAYUQUAN ANCH      ,   null    ,        93         ,             61              ,            108            ,          2          ,  Anchorage  ,         Bohai Sea          ,         North China          ,                             null                            
254  ,         Brazil         ,      SANTOS ANCH       ,   null    ,        83         ,             23              ,            22             ,          0          ,  Anchorage  ,  East Coast South America  ,   East Coast South America   ,                             null                            
258  ,  United Arab Emirates  ,      SHARJAH ANCH      ,   null    ,        82         ,             59              ,            52             ,          2          ,  Anchorage  ,         Dubai Area         ,         Arabian Gulf         ,                             null                            
259  ,        Belgium         ,      ANTWERP ANCH      ,   null    ,        82         ,             52              ,            38             ,          0          ,  Anchorage  ,         North Sea          ,     UK Coast & Atlantic      ,                             null                            
261  ,         China          ,      XIAMEN ANCH       ,   null    ,        82         ,             59              ,            77             ,          0          ,  Anchorage  ,       East China Sea       ,         South China          ,                             null                            
268  ,         China          ,      HUIZHOU ANCH      ,   null    ,        79         ,             60              ,            57             ,          8          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
271  ,        Thailand        ,     SRIRACHA ANCH      ,   null    ,        79         ,             36              ,            32             ,          3          ,  Anchorage  ,      Gulf of Thailand      ,       South-East Asia        ,                             null                            
274  ,         China          ,     FANGCHENG ANCH     ,   null    ,        78         ,             110             ,            120            ,          2          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
281  ,         Panama         ,  PANAMA ANCH PACIFIC   ,   null    ,        76         ,             82              ,            81             ,          0          ,  Anchorage  ,        Panama Canal        ,  West Coast Central America  ,                             null                            
285  ,       Bangladesh       ,    CHITTAGONG ANCH     ,   null    ,        75         ,             22              ,            18             ,          0          ,  Anchorage  ,         Bengal Bay         ,       East Coast India       ,                             null                            
315  ,       Argentina        ,        RECALADA        ,   null    ,        69         ,             18              ,            12             ,         37          ,  Anchorage  ,  East Coast South America  ,   East Coast South America   ,                             null                            
316  ,      Saudi Arabia      ,      DAMMAM ANCH       ,   null    ,        69         ,             31              ,            36             ,          0          ,  Anchorage  ,        Persian Gulf        ,         Arabian Gulf         ,                             null                            
317  ,          USA           ,      HOUSTON ANCH      ,   null    ,        69         ,             45              ,            41             ,          0          ,  Anchorage  ,       Gulf of Mexico       ,        Gulf of Mexico        ,                             null                            
324  ,         China          ,     CHANGSHU ANCH      ,   null    ,        68         ,             154             ,            154            ,          0          ,  Anchorage  ,       East China Sea       ,        Central China         ,                             null                            
327  ,          Peru          ,      CALLAO ANCH       ,   null    ,        67         ,             48              ,            53             ,          3          ,  Anchorage  ,     West South America     ,      West South America      ,                             null                            
328  ,       Hong Kong        ,     HONG KONG ANCH     ,   null    ,        67         ,             117             ,            112            ,          3          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
329  ,         China          ,      QINGDAO ANCH      ,   null    ,        67         ,             120             ,            91             ,          2          ,  Anchorage  ,         Yellow Sea         ,         North China          ,                             null                            
356  ,  United Arab Emirates  ,    KHOR FAKKAN ANCH    ,   null    ,        64         ,             62              ,            55             ,          2          ,  Anchorage  ,         Oman Gulf          ,         Arabian Gulf         ,                             null                            
357  ,         Taiwan         ,     KAOHSIUNG ANCH     ,   null    ,        64         ,             36              ,            32             ,          0          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
366  ,         China          ,     ZHANJIANG ANCH     ,   null    ,        63         ,             27              ,            21             ,          3          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
376  ,          Iran          ,   BANDAR ABBAS ANCH    ,   null    ,        62         ,             26              ,            20             ,          1          ,  Anchorage  ,        Persian Gulf        ,         Arabian Gulf         ,                             null                            
382  ,         Turkey         ,       TUZLA ANCH       ,   null    ,        61         ,             48              ,            53             ,          0          ,  Anchorage  ,        Marmara Sea         ,          Black Sea           ,                             null                            
390  ,      Netherlands       ,     AMSTERDAM ANCH     ,   null    ,        60         ,             32              ,            29             ,          0          ,  Anchorage  ,         North Sea          ,     UK Coast & Atlantic      ,                       "[IJMUIDEN ANCH]"                     
400  ,         Guinea         ,      KAMSAR ANCH       ,   null    ,        59         ,             32              ,            29             ,          2          ,  Anchorage  ,        West Africa         ,         West Africa          ,                             null                            
403  ,          Togo          ,       LOME ANCH        ,   null    ,        59         ,             12              ,            14             ,          0          ,  Anchorage  ,       Gulf of Guinea       ,         West Africa          ,                             null                            
409  ,        Vietnam         ,      HON GAI ANCH      ,   null    ,        58         ,             22              ,            20             ,          3          ,  Anchorage  ,      South-East Asia       ,       South-East Asia        ,                             null                            
411  ,      Netherlands       ,     ROTTERDAM ANCH     ,   null    ,        58         ,             29              ,            23             ,          0          ,  Anchorage  ,         North Sea          ,     UK Coast & Atlantic      ,                             null                            
417  ,         Japan          ,       TOKYO BAY        ,   null    ,        57         ,             200             ,            181            ,          3          ,  Anchorage  ,        Japan Coast         ,         Japan Coast          ,                             null                            
421  ,        Malaysia        ,  TANJUNG PELEPAS ANCH  ,   null    ,        57         ,             50              ,            51             ,          0          ,  Anchorage  ,       Singapore Area       ,          Indonesia           ,                             null                            
444  ,         Korea          ,       YEOSU ANCH       ,   null    ,        54         ,             121             ,            100            ,          7          ,  Anchorage  ,       East China Sea       ,         North China          ,                             null                            
457  ,         Brazil         ,     PARANAGUA ANCH     ,   null    ,        53         ,              3              ,             8             ,          0          ,  Anchorage  ,  East Coast South America  ,   East Coast South America   ,                             null                            
471  ,        Nigeria         ,       LAGOS ANCH       ,   null    ,        52         ,             23              ,            26             ,          0          ,  Anchorage  ,       Gulf of Guinea       ,         West Africa          ,                             null                            
473  ,         Panama         ,  PANAMA ANCH ATLANTIC  ,   null    ,        52         ,             26              ,            31             ,          0          ,  Anchorage  ,        Panama Canal        ,  East Coast Central America  ,                             null                            
